スキーマ名,テーブル名,インデックス名,定義
public,playlists,idx_playlists_user_id,CREATE INDEX idx_playlists_user_id ON public.playlists USING btree (user_id)
public,playlists,playlists_pkey,CREATE UNIQUE INDEX playlists_pkey ON public.playlists USING btree (id)
public,quiz_answers,idx_quiz_answers_participant_id,CREATE INDEX idx_quiz_answers_participant_id ON public.quiz_answers USING btree (participant_id)
public,quiz_answers,idx_quiz_answers_question_id,CREATE INDEX idx_quiz_answers_question_id ON public.quiz_answers USING btree (question_id)
public,quiz_answers,quiz_answers_pkey,CREATE UNIQUE INDEX quiz_answers_pkey ON public.quiz_answers USING btree (id)
public,quiz_participants,idx_quiz_participants_room_id,CREATE INDEX idx_quiz_participants_room_id ON public.quiz_participants USING btree (room_id)
public,quiz_participants,idx_quiz_participants_user_id,CREATE INDEX idx_quiz_participants_user_id ON public.quiz_participants USING btree (user_id)
public,quiz_participants,quiz_participants_pkey,CREATE UNIQUE INDEX quiz_participants_pkey ON public.quiz_participants USING btree (id)
public,quiz_participants,quiz_participants_room_id_user_id_key,"CREATE UNIQUE INDEX quiz_participants_room_id_user_id_key ON public.quiz_participants USING btree (room_id, user_id)"
public,quiz_questions,idx_quiz_questions_room_id,CREATE INDEX idx_quiz_questions_room_id ON public.quiz_questions USING btree (room_id)
public,quiz_questions,quiz_questions_pkey,CREATE UNIQUE INDEX quiz_questions_pkey ON public.quiz_questions USING btree (id)
public,quiz_sessions,quiz_sessions_pkey,CREATE UNIQUE INDEX quiz_sessions_pkey ON public.quiz_sessions USING btree (id)
public,quiz_sessions,quiz_sessions_room_code_key,CREATE UNIQUE INDEX quiz_sessions_room_code_key ON public.quiz_sessions USING btree (room_code)
public,users,users_email_key,CREATE UNIQUE INDEX users_email_key ON public.users USING btree (email)
public,users,users_pkey,CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
public,users,users_username_key,CREATE UNIQUE INDEX users_username_key ON public.users USING btree (username)
public,youtube_videos,idx_youtube_videos_playlist_id,CREATE INDEX idx_youtube_videos_playlist_id ON public.youtube_videos USING btree (playlist_id)
public,youtube_videos,idx_youtube_videos_video_id,CREATE INDEX idx_youtube_videos_video_id ON public.youtube_videos USING btree (video_id)
public,youtube_videos,youtube_videos_pkey,CREATE UNIQUE INDEX youtube_videos_pkey ON public.youtube_videos USING btree (id)
